source,target,edgeType
a0,ag1,ACTOR_TO_AGE_GROUP
a1,ag1,ACTOR_TO_AGE_GROUP
a1,ag3,ACTOR_TO_AGE_GROUP
a1,ag1,ACTOR_TO_AGE_GROUP
a2,ag1,ACTOR_TO_AGE_GROUP
a2,ag4,ACTOR_TO_AGE_GROUP
a2,ag2,ACTOR_TO_AGE_GROUP
a2,ag1,ACTOR_TO_AGE_GROUP
a2,ag3,ACTOR_TO_AGE_GROUP
a2,ag4,ACTOR_TO_AGE_GROUP
a2,ag4,ACTOR_TO_AGE_GROUP
a2,ag0,ACTOR_TO_AGE_GROUP
a2,ag1,ACTOR_TO_AGE_GROUP
a2,ag2,ACTOR_TO_AGE_GROUP
a2,ag1,ACTOR_TO_AGE_GROUP
a3,ag1,ACTOR_TO_AGE_GROUP
a3,ag1,ACTOR_TO_AGE_GROUP
a3,ag1,ACTOR_TO_AGE_GROUP
a3,ag1,ACTOR_TO_AGE_GROUP
a4,ag2,ACTOR_TO_AGE_GROUP
a4,ag2,ACTOR_TO_AGE_GROUP
a4,ag1,ACTOR_TO_AGE_GROUP
a5,ag2,ACTOR_TO_AGE_GROUP
a5,ag2,ACTOR_TO_AGE_GROUP
a5,ag1,ACTOR_TO_AGE_GROUP
a6,ag2,ACTOR_TO_AGE_GROUP
a6,ag2,ACTOR_TO_AGE_GROUP
a6,ag1,ACTOR_TO_AGE_GROUP
a6,ag1,ACTOR_TO_AGE_GROUP
a6,ag1,ACTOR_TO_AGE_GROUP
a6,ag1,ACTOR_TO_AGE_GROUP
a6,ag1,ACTOR_TO_AGE_GROUP
a6,ag1,ACTOR_TO_AGE_GROUP
a6,ag1,ACTOR_TO_AGE_GROUP
a7,ag2,ACTOR_TO_AGE_GROUP
a7,ag2,ACTOR_TO_AGE_GROUP
a7,ag2,ACTOR_TO_AGE_GROUP
a7,ag3,ACTOR_TO_AGE_GROUP
a7,ag1,ACTOR_TO_AGE_GROUP
a8,ag2,ACTOR_TO_AGE_GROUP
a9,ag1,ACTOR_TO_AGE_GROUP
a10,ag2,ACTOR_TO_AGE_GROUP
a10,ag1,ACTOR_TO_AGE_GROUP
a10,ag2,ACTOR_TO_AGE_GROUP
a10,ag2,ACTOR_TO_AGE_GROUP
a10,ag4,ACTOR_TO_AGE_GROUP
a10,ag1,ACTOR_TO_AGE_GROUP
a11,ag3,ACTOR_TO_AGE_GROUP
a12,ag2,ACTOR_TO_AGE_GROUP
a12,ag1,ACTOR_TO_AGE_GROUP
a13,ag4,ACTOR_TO_AGE_GROUP
a13,ag4,ACTOR_TO_AGE_GROUP
a13,ag1,ACTOR_TO_AGE_GROUP
a13,ag3,ACTOR_TO_AGE_GROUP
a13,ag4,ACTOR_TO_AGE_GROUP
a13,ag1,ACTOR_TO_AGE_GROUP
a14,ag1,ACTOR_TO_AGE_GROUP
a14,ag1,ACTOR_TO_AGE_GROUP
a14,ag1,ACTOR_TO_AGE_GROUP
a14,ag0,ACTOR_TO_AGE_GROUP
a14,ag1,ACTOR_TO_AGE_GROUP
a15,ag2,ACTOR_TO_AGE_GROUP
a15,ag1,ACTOR_TO_AGE_GROUP
a15,ag2,ACTOR_TO_AGE_GROUP
a15,ag1,ACTOR_TO_AGE_GROUP
a15,ag0,ACTOR_TO_AGE_GROUP
a15,ag1,ACTOR_TO_AGE_GROUP
a15,ag2,ACTOR_TO_AGE_GROUP
a15,ag2,ACTOR_TO_AGE_GROUP
a16,ag1,ACTOR_TO_AGE_GROUP
a16,ag1,ACTOR_TO_AGE_GROUP
a16,ag1,ACTOR_TO_AGE_GROUP
a16,ag1,ACTOR_TO_AGE_GROUP
a17,ag1,ACTOR_TO_AGE_GROUP
a18,ag1,ACTOR_TO_AGE_GROUP
a19,ag1,ACTOR_TO_AGE_GROUP
a20,ag1,ACTOR_TO_AGE_GROUP
a20,ag4,ACTOR_TO_AGE_GROUP
a20,ag1,ACTOR_TO_AGE_GROUP
a20,ag1,ACTOR_TO_AGE_GROUP
a20,ag2,ACTOR_TO_AGE_GROUP
a21,ag1,ACTOR_TO_AGE_GROUP
a22,ag1,ACTOR_TO_AGE_GROUP
a23,ag1,ACTOR_TO_AGE_GROUP
a24,ag1,ACTOR_TO_AGE_GROUP
a25,ag1,ACTOR_TO_AGE_GROUP
a26,ag1,ACTOR_TO_AGE_GROUP
a27,ag1,ACTOR_TO_AGE_GROUP
a28,ag1,ACTOR_TO_AGE_GROUP
a29,ag1,ACTOR_TO_AGE_GROUP
