source,target,edgeType
r1,a0,HAS_ACTOR
r1,a1,HAS_ACTOR
r2,a2,HAS_ACTOR
r2,a3,HAS_ACTOR
r3,a4,HAS_ACTOR
r3,a5,HAS_ACTOR
r4,a6,HAS_ACTOR
r5,a7,HAS_ACTOR
r5,a8,HAS_ACTOR
r6,a9,HAS_ACTOR
r7,a10,HAS_ACTOR
r7,a7,HAS_ACTOR
r8,a10,HAS_ACTOR
r9,a11,HAS_ACTOR
r9,a1,HAS_ACTOR
r10,a10,HAS_ACTOR
r10,a4,HAS_ACTOR
r11,a10,HAS_ACTOR
r11,a12,HAS_ACTOR
r12,a6,HAS_ACTOR
r13,a13,HAS_ACTOR
r14,a14,HAS_ACTOR
r15,a14,HAS_ACTOR
r16,a2,HAS_ACTOR
r16,a13,HAS_ACTOR
r17,a2,HAS_ACTOR
r17,a15,HAS_ACTOR
r18,a14,HAS_ACTOR
r19,a2,HAS_ACTOR
r19,a4,HAS_ACTOR
r20,a7,HAS_ACTOR
r21,a6,HAS_ACTOR
r22,a2,HAS_ACTOR
r23,a7,HAS_ACTOR
r24,a2,HAS_ACTOR
r25,a15,HAS_ACTOR
r25,a16,HAS_ACTOR
r25,a17,HAS_ACTOR
r26,a7,HAS_ACTOR
r26,a18,HAS_ACTOR
r26,a12,HAS_ACTOR
r27,a19,HAS_ACTOR
r28,a20,HAS_ACTOR
r29,a6,HAS_ACTOR
r30,a2,HAS_ACTOR
r30,a20,HAS_ACTOR
r30,a10,HAS_ACTOR
r31,a3,HAS_ACTOR
r31,a13,HAS_ACTOR
r32,a15,HAS_ACTOR
r32,a5,HAS_ACTOR
r33,a15,HAS_ACTOR
r33,a16,HAS_ACTOR
r34,a14,HAS_ACTOR
r35,a21,HAS_ACTOR
r36,a2,HAS_ACTOR
r36,a15,HAS_ACTOR
r37,a22,HAS_ACTOR
r37,a16,HAS_ACTOR
r37,a23,HAS_ACTOR
r37,a1,HAS_ACTOR
r38,a6,HAS_ACTOR
r39,a24,HAS_ACTOR
r40,a25,HAS_ACTOR
r41,a16,HAS_ACTOR
r42,a15,HAS_ACTOR
r43,a26,HAS_ACTOR
r44,a27,HAS_ACTOR
r45,a28,HAS_ACTOR
r45,a2,HAS_ACTOR
r45,a10,HAS_ACTOR
r46,a13,HAS_ACTOR
r47,a6,HAS_ACTOR
r48,a13,HAS_ACTOR
r49,a29,HAS_ACTOR
r49,a3,HAS_ACTOR
r50,a15,HAS_ACTOR
r50,a2,HAS_ACTOR
r51,a13,HAS_ACTOR
r51,a3,HAS_ACTOR
r52,a20,HAS_ACTOR
r53,a2,HAS_ACTOR
r53,a14,HAS_ACTOR
r54,a6,HAS_ACTOR
r55,a15,HAS_ACTOR
r56,a6,HAS_ACTOR
r57,a20,HAS_ACTOR
r57,a5,HAS_ACTOR
r58,a6,HAS_ACTOR
r59,a20,HAS_ACTOR
