source,target,edgeType
p0,ag1,HAS_AGE_GROUP
p1,ag1,HAS_AGE_GROUP
p2,ag2,HAS_AGE_GROUP
p3,ag2,HAS_AGE_GROUP
p4,ag2,HAS_AGE_GROUP
p5,ag1,HAS_AGE_GROUP
p6,ag2,HAS_AGE_GROUP
p7,ag1,HAS_AGE_GROUP
p8,ag3,HAS_AGE_GROUP
p9,ag2,HAS_AGE_GROUP
p10,ag2,HAS_AGE_GROUP
p11,ag2,HAS_AGE_GROUP
p12,ag4,HAS_AGE_GROUP
p13,ag1,HAS_AGE_GROUP
p14,ag1,HAS_AGE_GROUP
p15,ag4,HAS_AGE_GROUP
p16,ag2,HAS_AGE_GROUP
p17,ag1,HAS_AGE_GROUP
p18,ag1,HAS_AGE_GROUP
p19,ag2,HAS_AGE_GROUP
p20,ag1,HAS_AGE_GROUP
p21,ag3,HAS_AGE_GROUP
p22,ag3,HAS_AGE_GROUP
p23,ag4,HAS_AGE_GROUP
p24,ag1,HAS_AGE_GROUP
p25,ag1,HAS_AGE_GROUP
p26,ag1,HAS_AGE_GROUP
p27,ag1,HAS_AGE_GROUP
p28,ag1,HAS_AGE_GROUP
p29,ag4,HAS_AGE_GROUP
p30,ag1,HAS_AGE_GROUP
p31,ag2,HAS_AGE_GROUP
p32,ag1,HAS_AGE_GROUP
p33,ag0,HAS_AGE_GROUP
p34,ag1,HAS_AGE_GROUP
p35,ag0,HAS_AGE_GROUP
p36,ag1,HAS_AGE_GROUP
p37,ag1,HAS_AGE_GROUP
p38,ag1,HAS_AGE_GROUP
p39,ag1,HAS_AGE_GROUP
p40,ag1,HAS_AGE_GROUP
p41,ag1,HAS_AGE_GROUP
p42,ag1,HAS_AGE_GROUP
p43,ag1,HAS_AGE_GROUP
p44,ag1,HAS_AGE_GROUP
p45,ag3,HAS_AGE_GROUP
p46,ag1,HAS_AGE_GROUP
p47,ag4,HAS_AGE_GROUP
p48,ag1,HAS_AGE_GROUP
p49,ag2,HAS_AGE_GROUP
p50,ag1,HAS_AGE_GROUP
p51,ag1,HAS_AGE_GROUP
p52,ag1,HAS_AGE_GROUP
p53,ag1,HAS_AGE_GROUP
p54,ag2,HAS_AGE_GROUP
p55,ag1,HAS_AGE_GROUP
p56,ag1,HAS_AGE_GROUP
p57,ag1,HAS_AGE_GROUP
p58,ag2,HAS_AGE_GROUP
