source,target,edgeType
p0,r1,HAS_DREAM
p1,r2,HAS_DREAM
p2,r3,HAS_DREAM
p3,r4,HAS_DREAM
p4,r5,HAS_DREAM
p5,r6,HAS_DREAM
p6,r7,HAS_DREAM
p7,r8,HAS_DREAM
p8,r9,HAS_DREAM
p9,r10,HAS_DREAM
p10,r11,HAS_DREAM
p11,r12,HAS_DREAM
p12,r13,HAS_DREAM
p13,r14,HAS_DREAM
p14,r15,HAS_DREAM
p15,r16,HAS_DREAM
p16,r17,HAS_DREAM
p17,r18,HAS_DREAM
p18,r19,HAS_DREAM
p19,r20,HAS_DREAM
p20,r21,HAS_DREAM
p21,r22,HAS_DREAM
p22,r23,HAS_DREAM
p23,r24,HAS_DREAM
p24,r25,HAS_DREAM
p25,r26,HAS_DREAM
p26,r27,HAS_DREAM
p27,r28,HAS_DREAM
p28,r29,HAS_DREAM
p29,r30,HAS_DREAM
p30,r31,HAS_DREAM
p31,r32,HAS_DREAM
p32,r33,HAS_DREAM
p33,r34,HAS_DREAM
p34,r35,HAS_DREAM
p35,r36,HAS_DREAM
p36,r37,HAS_DREAM
p37,r38,HAS_DREAM
p38,r39,HAS_DREAM
p39,r40,HAS_DREAM
p40,r41,HAS_DREAM
p41,r42,HAS_DREAM
p42,r43,HAS_DREAM
p43,r44,HAS_DREAM
p44,r45,HAS_DREAM
p45,r46,HAS_DREAM
p46,r47,HAS_DREAM
p47,r48,HAS_DREAM
p48,r49,HAS_DREAM
p49,r50,HAS_DREAM
p50,r51,HAS_DREAM
p51,r52,HAS_DREAM
p52,r53,HAS_DREAM
p53,r54,HAS_DREAM
p54,r55,HAS_DREAM
p55,r56,HAS_DREAM
p56,r57,HAS_DREAM
p57,r58,HAS_DREAM
p58,r59,HAS_DREAM
