source,target,edgeType
l0,ag1,LOCATION_TO_AGE_GROUP
l0,ag1,LOCATION_TO_AGE_GROUP
l0,ag2,LOCATION_TO_AGE_GROUP
l0,ag1,LOCATION_TO_AGE_GROUP
l1,ag1,LOCATION_TO_AGE_GROUP
l1,ag2,LOCATION_TO_AGE_GROUP
l1,ag1,LOCATION_TO_AGE_GROUP
l2,ag2,LOCATION_TO_AGE_GROUP
l3,ag2,LOCATION_TO_AGE_GROUP
l4,ag2,LOCATION_TO_AGE_GROUP
l4,ag2,LOCATION_TO_AGE_GROUP
l5,ag1,LOCATION_TO_AGE_GROUP
l6,ag1,LOCATION_TO_AGE_GROUP
l7,ag1,LOCATION_TO_AGE_GROUP
l8,ag2,LOCATION_TO_AGE_GROUP
l8,ag0,LOCATION_TO_AGE_GROUP
l8,ag1,LOCATION_TO_AGE_GROUP
l9,ag1,LOCATION_TO_AGE_GROUP
l10,ag3,LOCATION_TO_AGE_GROUP
l11,ag2,LOCATION_TO_AGE_GROUP
l12,ag2,LOCATION_TO_AGE_GROUP
l13,ag4,LOCATION_TO_AGE_GROUP
l13,ag1,LOCATION_TO_AGE_GROUP
l13,ag2,LOCATION_TO_AGE_GROUP
l13,ag1,LOCATION_TO_AGE_GROUP
l14,ag1,LOCATION_TO_AGE_GROUP
l15,ag1,LOCATION_TO_AGE_GROUP
l16,ag4,LOCATION_TO_AGE_GROUP
l17,ag2,LOCATION_TO_AGE_GROUP
l18,ag1,LOCATION_TO_AGE_GROUP
l19,ag1,LOCATION_TO_AGE_GROUP
l20,ag3,LOCATION_TO_AGE_GROUP
l21,ag3,LOCATION_TO_AGE_GROUP
l22,ag4,LOCATION_TO_AGE_GROUP
l23,ag1,LOCATION_TO_AGE_GROUP
l23,ag1,LOCATION_TO_AGE_GROUP
l24,ag1,LOCATION_TO_AGE_GROUP
l25,ag1,LOCATION_TO_AGE_GROUP
l26,ag1,LOCATION_TO_AGE_GROUP
l26,ag0,LOCATION_TO_AGE_GROUP
l26,ag1,LOCATION_TO_AGE_GROUP
l26,ag4,LOCATION_TO_AGE_GROUP
l26,ag2,LOCATION_TO_AGE_GROUP
l27,ag1,LOCATION_TO_AGE_GROUP
l28,ag4,LOCATION_TO_AGE_GROUP
l28,ag1,LOCATION_TO_AGE_GROUP
l29,ag1,LOCATION_TO_AGE_GROUP
l30,ag1,LOCATION_TO_AGE_GROUP
l31,ag1,LOCATION_TO_AGE_GROUP
l32,ag1,LOCATION_TO_AGE_GROUP
l33,ag1,LOCATION_TO_AGE_GROUP
l34,ag1,LOCATION_TO_AGE_GROUP
l35,ag1,LOCATION_TO_AGE_GROUP
l36,ag1,LOCATION_TO_AGE_GROUP
l37,ag1,LOCATION_TO_AGE_GROUP
l38,ag1,LOCATION_TO_AGE_GROUP
l39,ag3,LOCATION_TO_AGE_GROUP
l40,ag3,LOCATION_TO_AGE_GROUP
l41,ag1,LOCATION_TO_AGE_GROUP
l42,ag4,LOCATION_TO_AGE_GROUP
l43,ag1,LOCATION_TO_AGE_GROUP
l44,ag2,LOCATION_TO_AGE_GROUP
l45,ag1,LOCATION_TO_AGE_GROUP
l46,ag1,LOCATION_TO_AGE_GROUP
l46,ag1,LOCATION_TO_AGE_GROUP
l47,ag1,LOCATION_TO_AGE_GROUP
l48,ag1,LOCATION_TO_AGE_GROUP
l49,ag1,LOCATION_TO_AGE_GROUP
l49,ag1,LOCATION_TO_AGE_GROUP
l50,ag1,LOCATION_TO_AGE_GROUP
l51,ag1,LOCATION_TO_AGE_GROUP
l52,ag1,LOCATION_TO_AGE_GROUP
l53,ag2,LOCATION_TO_AGE_GROUP
l54,ag2,LOCATION_TO_AGE_GROUP
